borrower_type,household_size,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,employment_type,months_at_current_job,num_income_sources,upi_transactions_per_month,upi_avg_transaction_amount,upi_months_active,mobile_wallet_used,utility_bills_paid,utility_bills_total,rent_paid_on_time_months,total_rental_months,same_number_since_year,avg_monthly_recharge_amount,recharge_frequency_per_month,ecomm_orders_per_month,ecomm_return_rate,prepaid_orders_ratio,survey_q1,survey_q2,survey_q3,survey_q4,survey_q5,survey_q6,survey_q7,survey_q8,loan_amount_requested,loan_purpose,loan_tenure_months,defaulted
gig,3,38246.68,35833.44,29200.22,34293.14,39532.81,13175.37,self-employed,28,3,68.1,3096.84,24.0,0.0,12,18,10.0,12.0,2014.0,692.87,1.85,8.9,0.202,0.9274235272453356,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,281400.0,business,30,0
gig,3,33513.25,28804.2,26304.95,8711.18,21097.69,24216.11,self-employed,23,3,42.7,1360.77,16.0,0.0,4,21,3.0,10.0,2019.0,673.06,1.79,5.5,0.352,0.4291329316588808,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,48900.0,business,48,0
rural,4,9277.9,9245.28,14901.67,6848.26,7344.18,15656.91,self-employed,17,2,,,,,3,16,,,2021.0,294.93,1.14,0.0,,,2.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,456000.0,medical,48,1
migrant,3,17861.69,25872.3,25558.62,19291.27,29678.14,26088.38,self-employed,9,3,25.0,2463.2,13.0,1.0,8,12,6.0,22.0,2019.0,315.93,1.71,3.7,0.257,0.5500943343501605,3.0,4.0,3.0,,3.0,2.0,4.0,2.0,98100.0,consumption,58,0
migrant,1,12634.65,12238.61,15827.55,10859.05,11048.21,16297.82,daily-wage,3,1,8.6,964.97,4.0,1.0,3,21,0.0,12.0,2022.0,333.12,0.5,1.0,0.443,0.1873840193880424,1.0,2.0,5.0,3.0,1.0,2.0,3.0,2.0,40000.0,education,6,1
gig,5,43161.56,31504.72,17777.77,22626.24,19035.11,48311.02,salaried-gig,24,3,62.0,2275.35,24.0,0.0,3,6,,,2015.0,562.19,1.71,8.6,0.158,0.7673839422430511,3.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,148600.0,business,25,0
migrant,4,9557.51,5996.77,10325.73,11780.2,13962.76,14503.47,daily-wage,2,1,20.6,472.05,7.0,0.0,0,22,5.0,17.0,2024.0,397.94,0.5,0.9,0.561,0.0250893427108024,1.0,1.0,4.0,1.0,2.0,2.0,5.0,1.0,394500.0,consumption,60,0
gig,2,33516.54,51051.02,41867.07,22842.08,49583.42,16075.33,self-employed,28,3,70.7,2397.23,24.0,1.0,9,11,12.0,16.0,2012.0,778.11,2.33,10.9,0.257,0.9649534935627884,4.0,4.0,3.0,3.0,4.0,,2.0,5.0,444500.0,business,23,0
migrant,3,24986.52,20274.76,27636.53,30017.45,31839.24,22081.97,salaried-gig,11,3,57.8,2470.13,21.0,1.0,18,24,13.0,16.0,2014.0,723.53,2.04,9.4,0.235,0.8395479928385904,4.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,89700.0,consumption,13,0
gig,2,17716.13,11510.96,9569.95,3286.53,22913.58,15974.62,self-employed,12,2,6.3,1162.38,15.0,0.0,0,15,0.0,18.0,2023.0,455.32,0.95,3.9,0.428,0.1776452637252157,1.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,132200.0,business,15,0
gig,3,36819.83,40570.37,44300.78,63308.11,14224.57,22821.2,salaried-gig,25,4,55.2,2270.16,14.0,1.0,6,9,13.0,21.0,2017.0,620.75,2.3,7.2,0.219,0.4692367806936053,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,291100.0,business,29,0
rural,6,10522.99,9249.82,17102.15,10416.51,12251.36,20317.73,self-employed,24,2,29.7,1981.34,2.0,0.0,9,12,,,2020.0,169.07,1.15,7.8,0.32,0.713188533088429,2.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,237200.0,business,12,0
gig,5,33191.66,25637.04,16259.61,37191.09,30914.44,13359.5,salaried-gig,34,4,105.5,2635.09,25.0,0.0,7,8,17.0,18.0,2012.0,661.92,2.45,13.9,0.245,0.8178649948960851,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,113700.0,education,9,0
gig,2,16066.85,17619.31,42580.51,13766.37,22436.24,15550.49,self-employed,17,2,39.6,2244.06,14.0,0.0,10,21,2.0,13.0,2019.0,397.09,1.3,2.3,0.439,0.3034200077165087,3.0,2.0,4.0,,3.0,2.0,4.0,3.0,348500.0,business,11,0
migrant,4,23661.97,19233.17,27902.52,14555.66,16002.01,24923.13,daily-wage,4,3,42.5,2441.16,7.0,1.0,15,24,19.0,20.0,2017.0,682.48,1.85,9.3,0.295,0.6471211284133821,3.0,5.0,3.0,3.0,4.0,2.0,3.0,3.0,312500.0,business,10,0
rural,5,11927.59,10668.21,12846.16,11690.77,10244.8,22435.86,seasonal,32,3,44.5,1891.17,4.0,1.0,9,23,,,2018.0,531.06,1.47,0.0,,,2.0,3.0,3.0,,4.0,2.0,3.0,3.0,46300.0,medical,51,0
migrant,4,29455.51,38620.84,31047.2,29198.31,21052.97,33535.1,daily-wage,11,4,93.8,2949.51,19.0,1.0,7,14,24.0,24.0,2013.0,622.35,3.14,9.3,0.146,0.8105186804300984,4.0,2.0,2.0,4.0,5.0,4.0,1.0,4.0,219500.0,medical,6,0
gig,2,28314.32,30846.75,35133.71,18340.79,25278.97,23329.1,salaried-gig,14,2,60.4,2286.34,9.0,1.0,5,8,4.0,6.0,2021.0,589.2,1.64,6.9,0.329,0.2733701585894786,3.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,452300.0,business,31,0
gig,3,21754.53,29347.43,24296.31,25330.52,24720.24,28069.63,daily-wage,23,3,62.7,2245.67,11.0,0.0,8,11,3.0,7.0,2017.0,431.01,2.26,9.1,0.213,0.4469384169845064,2.0,5.0,2.0,3.0,4.0,2.0,2.0,2.0,338300.0,agriculture,26,0
migrant,3,20866.32,36354.11,43125.33,38492.2,25904.15,34449.8,salaried-gig,19,4,88.2,3215.25,21.0,1.0,23,23,10.0,11.0,2018.0,782.98,2.85,11.2,0.182,0.6541896482780667,5.0,4.0,2.0,5.0,4.0,5.0,1.0,4.0,113700.0,consumption,57,0
gig,3,24198.42,36282.61,33332.21,22788.52,24614.23,26268.49,daily-wage,19,3,70.1,2782.78,16.0,1.0,7,18,4.0,19.0,2022.0,404.73,1.43,6.7,0.285,0.2269898162843792,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,169900.0,business,41,0
migrant,2,33395.41,37744.67,36642.21,36745.41,37257.58,29652.43,daily-wage,15,3,70.2,3356.94,23.0,1.0,4,6,,,2017.0,463.78,2.99,8.7,0.158,0.9201200546779976,5.0,5.0,2.0,4.0,5.0,3.0,3.0,4.0,494600.0,consumption,29,0
gig,5,24881.98,5788.21,6210.24,20600.67,8896.61,15990.3,daily-wage,6,2,10.5,1011.19,4.0,0.0,9,19,12.0,18.0,2022.0,387.26,0.57,3.0,0.416,0.0550513178783472,2.0,3.0,5.0,1.0,3.0,1.0,4.0,2.0,125400.0,business,9,1
rural,7,15933.65,14349.22,32858.85,19383.02,15178.79,29585.46,self-employed,45,4,86.2,2394.84,27.0,1.0,14,24,,,2012.0,506.05,2.34,0.0,,,4.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,219300.0,agriculture,54,0
gig,2,15142.52,61876.13,36508.41,30388.66,48532.42,20144.61,daily-wage,25,3,82.6,2369.29,20.0,0.0,11,16,9.0,24.0,2020.0,492.28,2.39,10.7,0.136,0.7799145042101732,4.0,4.0,4.0,3.0,4.0,,3.0,4.0,68200.0,business,59,0
migrant,4,23606.32,15088.62,25276.56,25277.68,24628.25,16947.99,daily-wage,8,2,34.9,1795.79,9.0,0.0,7,9,3.0,13.0,2016.0,520.2,1.36,8.0,0.218,0.3376300864948076,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,326900.0,business,57,0
gig,4,32959.68,56448.78,60273.76,24505.37,73294.45,57358.53,salaried-gig,31,4,78.3,3148.31,29.0,0.0,17,18,10.0,14.0,2011.0,678.42,2.51,13.9,0.219,0.9994252365120084,4.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,105500.0,business,36,0
migrant,4,30697.24,31555.47,31436.57,24318.43,34948.75,32121.46,daily-wage,11,3,78.5,2719.37,17.0,1.0,8,12,16.0,20.0,2022.0,519.92,1.66,8.2,0.264,0.647975071269877,3.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,303600.0,consumption,58,0
rural,6,17335.91,18679.63,26730.89,18088.16,11965.67,22912.75,seasonal,37,3,67.8,2678.02,19.0,0.0,11,14,12.0,13.0,2015.0,337.87,2.21,11.9,0.285,0.5782725436065006,3.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,361100.0,agriculture,21,0
rural,6,9774.01,10760.73,15515.54,10111.99,10019.56,18779.24,seasonal,17,2,,,,,5,20,,,2020.0,361.77,0.89,0.0,,,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,82700.0,medical,48,0
gig,5,16647.13,27415.28,26234.3,40724.92,35189.66,34081.92,daily-wage,21,2,53.4,2055.22,23.0,0.0,13,21,12.0,14.0,2017.0,515.84,1.75,5.0,0.307,0.5585406655745697,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,269700.0,education,37,0
gig,2,26216.28,26396.95,33092.29,19321.43,23461.08,14296.47,daily-wage,20,1,27.3,1317.23,4.0,0.0,5,16,2.0,21.0,2023.0,628.93,1.55,1.9,0.472,0.1155027155044891,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,467800.0,education,49,0
rural,6,14810.64,15093.53,33393.57,17671.4,17383.02,30758.01,daily-wage,43,4,,,,,7,8,15.0,15.0,2015.0,252.31,2.17,0.0,,,4.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,283800.0,medical,41,0
gig,2,30220.35,38712.92,27565.97,39603.65,33798.75,29030.57,daily-wage,17,3,27.3,1867.66,23.0,1.0,5,10,9.0,12.0,2018.0,582.01,1.18,4.4,0.338,0.6541889129586561,4.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,458000.0,business,58,0
gig,4,45999.76,42111.79,46896.15,44011.5,25362.65,59820.73,salaried-gig,31,3,81.5,3396.95,35.0,1.0,20,23,13.0,16.0,2014.0,691.26,2.69,14.3,0.137,0.9407783211624748,4.0,4.0,1.0,4.0,4.0,4.0,2.0,3.0,318200.0,consumption,24,0
migrant,2,17427.23,18248.03,19899.32,21595.37,28158.1,25484.85,daily-wage,9,2,36.5,2321.88,16.0,0.0,5,9,3.0,10.0,2017.0,369.97,1.99,4.2,0.415,0.2132938418213607,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,460500.0,consumption,53,0
gig,4,45377.37,2247.15,51109.86,42787.45,18322.07,35925.28,salaried-gig,27,4,83.2,3577.66,27.0,0.0,9,12,17.0,20.0,2014.0,613.63,2.86,10.7,0.229,0.9466870060732951,4.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,267400.0,business,40,0
rural,5,14657.69,14020.32,28490.14,14134.93,12761.49,21628.3,seasonal,33,3,,,,,3,9,3.0,6.0,2017.0,300.75,1.45,0.0,,,2.0,3.0,3.0,4.0,3.0,,4.0,3.0,439300.0,business,26,1
gig,3,40050.85,29186.4,22909.66,32201.07,20592.15,19519.17,salaried-gig,17,3,69.4,1992.73,8.0,0.0,8,24,,,2021.0,500.78,1.42,0.0,,,3.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,119300.0,medical,40,0
gig,2,12542.91,5766.47,11657.36,21539.25,10965.69,16651.66,salaried-gig,2,2,0.1,289.73,0.0,0.0,0,13,1.0,16.0,2024.0,370.23,0.67,0.0,,,1.0,2.0,5.0,1.0,1.0,2.0,5.0,2.0,492500.0,consumption,54,1
rural,5,13660.02,15109.84,23155.93,15567.81,17755.11,22355.42,self-employed,39,2,60.9,2692.21,22.0,0.0,7,15,7.0,19.0,2015.0,348.71,2.26,10.2,0.251,0.7760569174568024,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,60100.0,business,23,0
gig,5,8175.83,9399.06,13664.31,14218.49,8642.09,14533.54,daily-wage,6,1,9.0,543.6,0.0,0.0,2,6,1.0,18.0,2024.0,400.87,0.5,0.0,,,1.0,2.0,4.0,1.0,2.0,1.0,5.0,1.0,49700.0,consumption,56,0
rural,6,16480.2,12756.25,18761.99,14066.62,11719.59,20846.59,self-employed,33,3,52.9,1502.33,7.0,0.0,4,11,3.0,7.0,2019.0,320.4,1.73,11.2,0.281,0.2057575333468364,3.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,218900.0,business,36,0
gig,5,40131.83,34395.58,23830.92,24574.59,7581.15,25295.59,daily-wage,13,2,26.9,1967.21,8.0,1.0,3,19,13.0,21.0,2022.0,566.85,1.06,4.7,0.385,0.0488798740290993,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,412400.0,education,35,0
rural,4,6637.17,7268.44,11454.59,9205.27,8298.85,17980.8,seasonal,21,3,,,,,4,16,,,2020.0,365.63,1.78,0.0,,,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,225900.0,agriculture,15,1
gig,5,45842.84,31900.9,32223.16,12296.4,39112.83,23546.14,self-employed,20,3,50.3,1389.96,20.0,1.0,10,20,,,2021.0,507.56,1.85,12.3,0.345,0.3604834119325583,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,448500.0,education,39,0
gig,4,25111.67,21642.43,41415.73,46770.73,24263.83,52215.21,salaried-gig,24,4,56.7,2875.42,13.0,0.0,17,19,16.0,21.0,2020.0,733.14,2.26,11.4,0.286,0.8548899553548084,2.0,5.0,3.0,4.0,4.0,,2.0,3.0,257100.0,business,36,0
rural,4,10144.49,11720.1,19644.09,12850.72,10017.04,13421.53,daily-wage,30,4,,,,,6,13,7.0,12.0,,385.54,1.42,0.0,,,3.0,3.0,4.0,,2.0,4.0,4.0,4.0,69700.0,education,44,0
gig,4,16580.2,15518.62,18791.46,15679.82,18525.08,15549.98,salaried-gig,6,1,0.0,738.97,6.0,0.0,6,13,0.0,11.0,2023.0,572.67,1.03,0.0,,,2.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,176300.0,business,60,1
gig,3,43878.43,41258.13,42955.34,38530.92,6226.43,31179.04,daily-wage,28,3,46.1,2678.8,26.0,1.0,5,7,4.0,19.0,2014.0,561.07,2.76,9.2,0.21,0.4390103403410945,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,405500.0,education,55,0
gig,5,46916.87,56917.04,25298.76,13494.97,33064.5,30507.73,self-employed,26,4,71.7,3318.79,25.0,1.0,15,15,21.0,22.0,2018.0,625.74,2.72,12.0,0.19,0.988371994465342,4.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,460300.0,medical,30,0
rural,4,12690.84,13197.03,24212.93,16708.81,14689.66,20790.36,seasonal,42,3,53.8,2263.25,23.0,0.0,13,21,,,2015.0,253.07,2.5,10.9,0.314,0.3214793589065119,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,301400.0,business,29,0
migrant,3,23188.75,23084.18,18080.66,17006.65,20229.87,24738.69,daily-wage,6,2,11.8,1711.61,14.0,0.0,3,8,8.0,12.0,,378.86,1.58,2.4,0.324,0.4660641328714097,3.0,2.0,4.0,2.0,3.0,,3.0,3.0,321900.0,consumption,41,0
migrant,2,31661.74,24518.02,35457.44,27882.35,30852.86,36106.94,daily-wage,10,3,62.4,,15.0,1.0,9,12,15.0,18.0,2014.0,789.66,2.6,14.1,0.193,0.5402034871575481,3.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,267200.0,consumption,40,0
migrant,3,17759.04,31959.5,27632.12,16402.21,24048.09,20534.18,salaried-gig,8,2,78.4,1932.02,17.0,1.0,6,13,4.0,22.0,2018.0,361.97,1.61,7.5,0.251,0.2938930518255181,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,240900.0,education,8,0
gig,2,31802.33,15940.28,36161.61,24954.05,35035.71,18046.58,salaried-gig,12,2,28.6,1492.82,11.0,0.0,2,6,2.0,8.0,2021.0,649.47,1.8,8.7,0.367,0.7576701611608959,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,296400.0,consumption,15,1
migrant,4,25027.23,19209.35,35026.98,28606.55,31849.73,23669.74,daily-wage,13,3,48.1,2549.98,21.0,0.0,10,15,14.0,22.0,2018.0,572.25,2.12,6.9,0.205,0.5600474581756978,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,321600.0,business,13,0
gig,3,10811.9,37302.14,39107.86,23084.71,24485.94,30707.66,daily-wage,29,4,46.8,2715.62,23.0,1.0,6,11,9.0,12.0,2013.0,712.59,1.8,11.5,0.166,0.6898099985033292,4.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,327700.0,business,8,0
rural,6,13295.39,12138.81,26199.81,13593.78,12626.13,21564.59,daily-wage,33,2,50.3,2656.79,24.0,1.0,11,17,,,,319.92,1.73,0.0,,,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,406100.0,consumption,50,0
gig,3,5742.54,16662.59,21741.58,50896.74,38374.8,42661.96,self-employed,26,3,71.9,2804.79,12.0,0.0,7,11,11.0,21.0,2014.0,620.53,1.94,13.5,0.235,0.9198547293098124,3.0,3.0,3.0,,4.0,3.0,3.0,4.0,143700.0,medical,6,0
gig,3,24841.52,18125.93,16979.74,21852.01,39978.28,28206.63,daily-wage,15,3,36.4,1701.41,12.0,0.0,8,18,13.0,21.0,2020.0,490.76,1.83,7.7,0.37,0.3500996906821672,3.0,2.0,4.0,,3.0,,3.0,3.0,222700.0,medical,6,0
gig,4,31336.67,40462.74,12686.15,20157.59,16987.53,20545.28,daily-wage,21,3,76.0,2459.85,25.0,0.0,6,10,6.0,19.0,2021.0,554.84,2.13,11.5,0.257,0.772095249973861,4.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,363900.0,education,48,0
rural,4,14767.53,15748.62,28579.42,14544.34,15577.13,28635.72,seasonal,47,3,,,,,11,14,,,2013.0,480.05,3.06,14.9,0.18,0.8896275584919049,4.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,189200.0,agriculture,8,1
gig,2,12102.95,39264.95,49673.43,21538.67,4628.5,24857.09,salaried-gig,22,3,40.0,1795.0,12.0,1.0,17,18,7.0,13.0,2019.0,489.86,1.49,8.3,0.244,0.3835821887774045,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,56500.0,consumption,41,0
rural,7,9600.86,9003.42,15491.31,9280.34,7602.6,17672.95,seasonal,15,2,36.6,902.03,12.0,0.0,5,15,,,2020.0,313.93,0.8,0.0,,,2.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,186900.0,medical,11,0
rural,4,6109.02,6758.18,12127.63,7575.42,7173.9,12519.84,seasonal,16,1,,,,,0,8,2.0,14.0,2022.0,194.15,0.93,5.4,0.478,0.0682608561485693,2.0,3.0,4.0,3.0,1.0,1.0,4.0,2.0,258700.0,education,20,1
gig,4,18861.33,17990.86,25046.92,26057.5,42398.83,31738.13,self-employed,10,2,15.6,1327.13,9.0,0.0,9,18,,,2019.0,388.05,1.14,2.9,0.3,0.2243505411811988,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,59000.0,consumption,49,0
migrant,2,23514.74,26776.69,25004.55,18985.88,26628.85,27692.74,daily-wage,9,3,69.4,2267.67,7.0,1.0,8,18,16.0,24.0,2016.0,475.87,1.83,7.4,0.315,0.8144723436132076,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,222700.0,business,36,0
gig,4,47988.98,34918.63,32864.16,25784.47,28556.65,36666.21,daily-wage,16,3,54.7,2223.96,6.0,0.0,18,22,,,2018.0,695.98,2.1,3.4,0.334,0.1833429393629786,3.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,415200.0,consumption,13,0
gig,4,42830.16,45010.81,14397.65,35932.74,63964.75,24855.59,salaried-gig,25,4,72.5,2178.47,21.0,1.0,5,8,13.0,16.0,2013.0,550.34,2.1,5.8,0.22,0.8281005015632472,3.0,4.0,4.0,,3.0,3.0,2.0,5.0,456300.0,business,20,0
migrant,3,30307.52,17547.51,24623.83,27095.14,23747.58,35126.78,salaried-gig,4,2,60.6,,12.0,0.0,4,14,4.0,21.0,2019.0,612.2,1.54,2.9,0.273,0.3502717673080803,3.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,256300.0,medical,22,0
gig,4,30689.82,24544.64,37975.5,23430.29,27801.14,44045.17,self-employed,17,4,39.8,1707.22,6.0,0.0,6,14,,,2018.0,401.52,1.45,3.6,0.316,0.8835862127254197,3.0,4.0,5.0,3.0,3.0,,2.0,3.0,488100.0,education,49,0
rural,6,10812.39,8991.93,17785.94,12093.11,10149.3,13735.9,seasonal,28,2,56.5,2164.94,10.0,1.0,2,6,21.0,24.0,,248.59,1.01,0.0,,,3.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,83000.0,agriculture,38,0
rural,6,13348.7,16481.36,16191.55,14809.41,14665.28,25684.27,seasonal,38,3,,,,,11,16,10.0,24.0,2017.0,294.77,1.89,10.4,0.301,0.6428283885450099,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,41900.0,agriculture,46,0
gig,4,50927.44,34058.04,27370.03,38066.53,33198.75,42475.52,self-employed,19,2,74.0,1771.49,15.0,0.0,2,8,2.0,6.0,2016.0,521.59,1.72,5.7,0.204,0.4316506786374581,4.0,3.0,2.0,3.0,4.0,,3.0,3.0,110800.0,education,47,0
gig,2,18459.78,37292.91,30489.82,35817.59,57790.64,35182.9,salaried-gig,26,4,78.9,3073.52,16.0,0.0,6,10,22.0,24.0,2017.0,604.99,2.09,12.9,0.201,0.5993648923199484,3.0,3.0,2.0,4.0,4.0,,2.0,4.0,397600.0,consumption,34,0
rural,6,10749.3,10173.77,21144.51,12054.08,10152.21,25274.65,seasonal,35,3,70.5,1958.74,17.0,0.0,2,8,11.0,20.0,2017.0,328.03,1.84,4.3,0.305,0.473913257417629,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,203800.0,agriculture,28,0
gig,3,31772.32,31443.25,26359.49,46674.07,35851.86,18179.56,salaried-gig,22,3,65.4,1960.01,14.0,0.0,2,17,,,2020.0,574.48,1.9,8.6,0.241,0.7935356165115843,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,175900.0,medical,33,0
rural,6,18490.93,15346.28,34403.85,15261.06,13820.64,25783.63,daily-wage,49,2,,,,,21,24,,,2012.0,494.07,2.36,5.7,0.2,0.8678784464468362,5.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,476500.0,consumption,37,0
gig,4,2000.0,19185.73,14148.0,14170.31,24450.64,18946.65,salaried-gig,4,2,12.9,402.71,3.0,1.0,2,8,1.0,11.0,2023.0,433.3,0.56,5.0,0.459,0.2433051890255594,2.0,2.0,5.0,1.0,1.0,,5.0,2.0,208800.0,consumption,27,1
migrant,2,25857.65,27190.51,28981.04,22156.66,27680.57,25524.66,self-employed,10,2,24.5,1646.95,21.0,1.0,4,13,2.0,6.0,2021.0,382.53,1.75,7.4,0.357,0.5628249360384802,2.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,451700.0,education,57,0
gig,2,19151.21,25592.24,32734.48,21179.97,10931.51,32299.18,self-employed,20,3,19.6,1712.31,10.0,0.0,5,8,11.0,17.0,2018.0,522.8,1.94,2.2,0.292,0.7579554288307988,4.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,172900.0,education,31,0
gig,2,26281.98,18902.76,2000.0,19109.54,21643.41,10223.08,salaried-gig,15,2,49.2,1842.26,13.0,1.0,9,17,6.0,20.0,2020.0,567.08,1.18,8.7,0.281,0.3046826337984334,2.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,435400.0,medical,18,1
gig,3,14726.81,26529.38,21436.06,29238.85,38494.15,30451.68,daily-wage,15,3,39.3,1822.23,16.0,1.0,6,22,9.0,22.0,2018.0,591.74,1.46,4.0,0.316,0.30636205870168,2.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,261500.0,consumption,27,0
gig,4,20683.43,31086.53,31500.94,25373.38,65654.44,51937.45,daily-wage,23,4,106.0,2947.49,26.0,1.0,3,7,7.0,16.0,2013.0,669.4,2.32,11.9,0.162,0.9102614742975246,3.0,3.0,2.0,4.0,3.0,3.0,2.0,5.0,231400.0,consumption,25,0
gig,4,32725.71,13783.8,2945.36,37831.11,21943.8,35539.92,self-employed,27,3,56.8,2071.36,18.0,1.0,14,16,1.0,8.0,2021.0,515.28,1.89,5.8,0.239,0.0196866120855662,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,97300.0,business,6,0
rural,5,9676.81,9129.94,16844.4,7728.74,9533.54,14159.08,daily-wage,20,2,,,,,1,7,2.0,13.0,2020.0,426.78,1.38,0.0,,,3.0,2.0,3.0,,2.0,2.0,4.0,2.0,172100.0,consumption,18,0
gig,5,32058.24,46974.36,36873.36,28264.13,49218.26,40089.32,daily-wage,27,4,70.8,2778.64,21.0,0.0,5,6,5.0,12.0,2020.0,606.92,2.49,12.0,0.163,0.9083623440624974,5.0,4.0,3.0,,3.0,4.0,3.0,4.0,426700.0,consumption,47,0
gig,5,42050.24,58968.83,40716.11,30640.58,39822.7,29792.05,salaried-gig,32,4,100.5,2885.99,31.0,1.0,14,19,8.0,12.0,2015.0,829.06,2.7,13.1,0.167,0.7771486736818742,4.0,4.0,2.0,5.0,5.0,4.0,1.0,5.0,215600.0,medical,22,0
migrant,2,15010.08,16849.14,12687.82,16315.56,20601.81,14699.33,daily-wage,7,2,11.3,1575.34,7.0,0.0,1,11,6.0,19.0,2023.0,604.49,0.67,7.8,0.379,0.0532051848937813,2.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0,241600.0,education,34,0
rural,7,10689.2,7354.12,16828.16,8649.84,11140.68,15294.87,daily-wage,23,2,,,,,6,10,13.0,19.0,2022.0,230.65,0.73,0.0,,,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,102800.0,consumption,46,0
rural,6,8060.95,9221.43,15363.58,4779.65,7738.53,12810.57,daily-wage,16,1,21.0,932.33,6.0,0.0,3,19,2.0,9.0,2021.0,364.4,0.5,0.0,,,2.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,287000.0,business,20,1
gig,4,36427.66,62034.28,34544.28,39227.03,28946.5,39237.34,self-employed,29,4,105.3,2778.82,20.0,1.0,10,13,11.0,15.0,2019.0,693.86,2.47,10.1,0.171,0.8357969160963928,4.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,312900.0,agriculture,24,0
migrant,4,27365.01,31151.78,28421.8,31542.83,25691.58,26659.68,salaried-gig,8,4,45.3,2206.79,15.0,1.0,17,20,14.0,24.0,2015.0,646.27,2.07,9.2,0.243,0.909398162402934,3.0,4.0,3.0,3.0,4.0,,3.0,4.0,146400.0,consumption,17,0
gig,2,15617.21,28937.15,29040.8,8351.44,28048.04,10370.19,salaried-gig,11,3,35.3,1552.77,12.0,1.0,6,18,7.0,24.0,2018.0,385.26,1.18,3.6,0.355,0.3614418641807607,3.0,3.0,5.0,3.0,2.0,4.0,2.0,2.0,225300.0,consumption,20,0
gig,4,42549.41,6247.56,28119.85,27755.07,50196.76,27392.85,salaried-gig,34,4,98.5,3442.76,22.0,1.0,21,24,8.0,8.0,2010.0,597.14,3.29,16.8,0.141,0.7633653537236358,4.0,3.0,1.0,4.0,5.0,4.0,2.0,4.0,458000.0,business,47,0
